time,spasticity_signal
0.0,0.0
0.02,0.11580063023294122
0.04,0.23657143152124094
0.06,0.2146936458541014
0.08,0.37620730215454223
0.1,0.44209816681028125
0.12,0.7699960906641394
0.14,0.5834968570850093
0.16,0.6399187266733193
0.18,0.6828640408506076
0.2,0.8761331531505531
0.22,1.1025734679653656
0.24,1.0383803998769605
0.26,1.0780832796210909
0.28,1.2832243078441685
0.3,1.2727312093052117
0.32,1.2095037429295261
0.34,1.4832975835663746
0.36,0.9675076831636189
0.38,1.3769089443711915
0.4,1.2808451684850766
0.42,0.9605046973417104
0.44,1.2963943840781105
0.46,1.2538170401092643
0.48,1.0016432436016323
0.5,0.8471154743357865
0.52,0.8180660444373293
0.54,1.0303488835415313
0.56,0.8236218517977552
0.58,0.5077058504427157
0.6,0.7945494805522424
0.62,0.6239501949492421
0.64,0.2053420992622354
0.66,0.3247308366116701
0.68,0.18071165557523525
0.7000000000000001,0.09019620268258495
0.72,0.13213120182199778
0.74,0.20144026513359845
0.76,0.3762546275285193
0.78,0.3180113639836563
0.8,0.3931183605241176
0.8200000000000001,0.5195032408680899
0.84,0.20325727830919926
0.86,0.6802668333092118
0.88,0.9883764634363079
0.9,0.7730123311756592
0.92,0.7431496034449756
0.9400000000000001,1.07536582365888
0.96,1.4228958821741107
0.98,1.0345906654390478
1.0,1.2083163983223155
1.02,1.0981634027438165
1.04,2.2197380724944136
1.06,2.3506050262056966
1.08,2.35415241470735
1.1,2.357795084500819
1.12,2.2194556381523785
1.1400000000000001,2.1667253826507498
1.16,2.1104443425326553
1.18,2.272640881825838
1.2,2.231610603453751
1.22,2.3154938456400043
1.24,2.234449696468059
1.26,1.8992325714979783
1.28,1.854444306554234
1.3,1.7516871764728383
1.32,1.5651321048442046
1.34,1.5896482980540818
1.36,1.3467967455478318
1.3800000000000001,0.0
1.4000000000000001,0.256669241753522
1.42,0.03276720870084388
1.44,0.0
1.46,0.23554936945170218
1.48,0.35008987283793536
1.5,0.5682714138354938
1.52,0.39994304401682546
1.54,0.5802528455901341
1.56,0.590554320591676
1.58,0.6470018679166477
1.6,0.9592319836011821
1.62,0.95254640170927
1.6400000000000001,0.8023036554482197
1.6600000000000001,1.0195380952190656
1.68,1.1566983675158107
1.7,1.0828953750380894
1.72,1.1331061379581113
1.74,1.511249451149136
1.76,1.0614423983208865
1.78,1.1019529865922781
1.8,1.4098561700290162
1.82,1.200057009493773
1.84,1.140519479968283
1.86,0.9479114746290384
1.8800000000000001,1.142131604832767
1.9000000000000001,2.3742906591720727
1.92,2.4073105778408244
1.94,2.370749841586258
1.96,2.159526813672911
1.98,1.935897049325284
2.0,1.7722690680012974
2.02,2.084770489092601
2.04,1.684626148562007
2.06,1.84781552534025
2.08,1.6824180323158104
2.1,1.4342070835084089
2.12,1.5757736933695907
2.14,1.2544594160028428
2.16,1.5273611955095157
2.18,1.4079262095693528
2.2,1.5006147354963246
2.22,1.6325664143205052
2.24,0.8086332002182464
2.2600000000000002,0.654060001899143
